,player,comp,round,date,venue,opp,pos,min,type,assisted,Year,match period
742,Messi,LaLiga,4,2009-09-22,A,Racing,RW,63,Left-footed shot,Xavi,2009,Second Half
743,Messi,Champions League,Group Stage,2009-09-29,H,Dynamo Kyiv,RW,25,Left-footed shot,Andrés Iniesta,2009,First Half
744,Messi,LaLiga,8,2009-10-25,H,Real Zaragoza,RW,80,Left-footed shot,Andrés Iniesta,2009,Second Half
745,Messi,LaLiga,10,2009-11-07,H,RCD Mallorca,RW,86,Penalty,No Assist,2009,Second Half
746,Messi,Copa del Rey,5th round,2009-11-10,H,CyD Leonesa,RW,64,Left-footed shot,Pedro,2009,Second Half
747,Messi,LaLiga,13,2009-12-05,A,Dep. La Coruña,RW,26,Left-footed shot,Dani Alves,2009,First Half
748,Messi,LaLiga,13,2009-12-05,A,Dep. La Coruña,RW,80,Header,Pedro,2009,Second Half
749,Messi,Champions League,Group Stage,2009-12-09,A,Dynamo Kyiv,RW,86,Direct free kick,No Assist,2009,Second Half
750,Messi,Club World Cup,Semi-Finals,2009-12-16,A,Atlante,RW,55,Left-footed shot,Zlatan Ibrahimovic,2009,Second Half
751,Messi,Club World Cup,Final,2009-12-19,A,Estudiantes,RW,110,Chest,Dani Alves,2009,Xtra-Time
752,Messi,LaLiga,17,2010-01-10,A,CD Tenerife,RW,36,Left-footed shot,Bojan Krkic,2010,First Half
753,Messi,LaLiga,17,2010-01-10,A,CD Tenerife,RW,45,Right-footed shot,Bojan Krkic,2010,First Half
754,Messi,LaLiga,17,2010-01-10,A,CD Tenerife,RW,75,Left-footed shot,Bojan Krkic,2010,Second Half
755,Messi,LaLiga,18,2010-01-16,H,Sevilla FC,RW,85,Left-footed shot,Dani Alves,2010,Second Half
756,Messi,LaLiga,18,2010-01-16,H,Sevilla FC,RW,901,Left-footed shot,Éric Abidal,2010,Second Half-Additional Time
757,Messi,LaLiga,19,2010-01-23,A,Real Valladolid,RW,54,Left-footed shot,Zlatan Ibrahimovic,2010,Second Half
758,Messi,LaLiga,21,2010-02-06,H,Getafe,RW,7,Left-footed shot,Yaya Touré,2010,First Half
759,Messi,LaLiga,24,2010-02-27,H,Málaga CF,RW,84,Right-footed shot,Dani Alves,2010,Second Half
760,Messi,LaLiga,25,2010-03-06,A,UD Almería,RW,42,Direct free kick,No Assist,2010,First Half
761,Messi,LaLiga,25,2010-03-06,A,UD Almería,RW,66,Left-footed shot,No Assist,2010,Second Half
762,Messi,LaLiga,26,2010-03-14,H,Valencia,CF,56,Left-footed shot,Xavi,2010,Second Half
763,Messi,LaLiga,26,2010-03-14,H,Valencia,CF,80,Left-footed shot,Thierry Henry,2010,Second Half
764,Messi,LaLiga,26,2010-03-14,H,Valencia,CF,82,Right-footed shot,Thierry Henry,2010,Second Half
765,Messi,Champions League,last 16,2010-03-17,H,VfB Stuttgart,RW,13,Left-footed shot,Yaya Touré,2010,First Half
766,Messi,Champions League,last 16,2010-03-17,H,VfB Stuttgart,RW,56,Left-footed shot,Dani Alves,2010,Second Half
767,Messi,LaLiga,27,2010-03-21,A,Real Zaragoza,RW,4,Header,Pedro,2010,First Half
768,Messi,LaLiga,27,2010-03-21,A,Real Zaragoza,RW,65,Left-footed shot,No Assist,2010,Second Half
769,Messi,LaLiga,27,2010-03-21,A,Real Zaragoza,RW,78,Left-footed shot,Andrés Iniesta,2010,Second Half
770,Messi,LaLiga,30,2010-04-03,H,Athletic,CF,67,Left-footed shot,Pedro,2010,Second Half
771,Messi,Champions League,Quarter-Finals,2010-04-06,H,Arsenal,RW,21,Left-footed shot,No Assist,2010,First Half
772,Messi,Champions League,Quarter-Finals,2010-04-06,H,Arsenal,RW,37,Right-footed shot,Pedro,2010,First Half
773,Messi,Champions League,Quarter-Finals,2010-04-06,H,Arsenal,RW,42,Left-footed shot,Seydou Keita,2010,First Half
774,Messi,Champions League,Quarter-Finals,2010-04-06,H,Arsenal,RW,88,Left-footed shot,Xavi,2010,Second Half
775,Messi,LaLiga,31,2010-04-10,A,Real Madrid,CF,32,Right-footed shot,Xavi,2010,First Half
776,Messi,LaLiga,35,2010-05-01,A,Villarreal,RW,18,Left-footed shot,Xavi,2010,First Half
777,Messi,LaLiga,35,2010-05-01,A,Villarreal,RW,87,Left-footed shot,Dani Alves,2010,Second Half
778,Messi,LaLiga,36,2010-05-04,H,CD Tenerife,RW,16,Right-footed shot,No Assist,2010,First Half
779,Messi,LaLiga,36,2010-05-04,H,CD Tenerife,RW,903,Right-footed shot,Dani Alves,2010,Second Half-Additional Time
780,Messi,LaLiga,37,2010-05-08,A,Sevilla FC,RW,5,Left-footed shot,Maxwell,2010,First Half
781,Messi,LaLiga,38,2010-05-16,H,Real Valladolid,RW,61,Right-footed shot,Yaya Touré,2010,Second Half
782,Messi,LaLiga,38,2010-05-16,H,Real Valladolid,RW,74,Left-footed shot,Yaya Touré,2010,Second Half
783,Messi,Supercopa,Final,2010-08-21,H,Sevilla FC,RW,25,Left-footed shot,Xavi,2010,First Half
784,Messi,Supercopa,Final,2010-08-21,H,Sevilla FC,RW,43,Right-footed shot,Dani Alves,2010,First Half
785,Messi,Supercopa,Final,2010-08-21,H,Sevilla FC,RW,901,Left-footed shot,Andrés Iniesta,2010,Second Half-Additional Time
786,Messi,LaLiga,1,2010-08-29,A,Racing,RW,3,Left-footed shot,Andrés Iniesta,2010,First Half
787,Messi,Champions League,Group Stage,2010-09-14,H,Panathinaikos,CF,22,Left-footed shot,Xavi,2010,First Half
788,Messi,Champions League,Group Stage,2010-09-14,H,Panathinaikos,CF,45,Left-footed shot,Pedro,2010,First Half
789,Messi,LaLiga,3,2010-09-19,A,Atlético Madrid,CF,12,Left-footed shot,Pedro,2010,First Half
790,Messi,LaLiga,6,2010-10-03,H,RCD Mallorca,CF,20,Left-footed shot,Pedro,2010,First Half
791,Messi,Champions League,Group Stage,2010-10-20,H,FC Copenhagen,CF,18,Left-footed shot,Andrés Iniesta,2010,First Half
792,Messi,Champions League,Group Stage,2010-10-20,H,FC Copenhagen,CF,901,Left-footed shot,Éric Abidal,2010,Second Half-Additional Time
793,Messi,LaLiga,8,2010-10-23,A,Real Zaragoza,CF,41,Left-footed shot,David Villa,2010,First Half
794,Messi,LaLiga,8,2010-10-23,A,Real Zaragoza,CF,65,Left-footed shot,No Assist,2010,Second Half
795,Messi,LaLiga,9,2010-10-30,H,Sevilla FC,RW,4,Left-footed shot,No Assist,2010,First Half
796,Messi,LaLiga,9,2010-10-30,H,Sevilla FC,RW,63,Left-footed shot,No Assist,2010,Second Half
797,Messi,Champions League,Group Stage,2010-11-02,A,FC Copenhagen,CF,31,Right-footed shot,No Assist,2010,First Half
798,Messi,LaLiga,10,2010-11-07,A,Getafe,CF,23,Left-footed shot,No Assist,2010,First Half
799,Messi,Copa del Rey,4th round,2010-11-10,H,AD Ceuta ,RW,67,Left-footed shot,Thiago,2010,Second Half
800,Messi,LaLiga,11,2010-11-13,H,Villarreal,CF,58,Right-footed shot,Pedro,2010,Second Half
801,Messi,LaLiga,11,2010-11-13,H,Villarreal,CF,83,Left-footed shot,Pedro,2010,Second Half
802,Messi,LaLiga,12,2010-11-20,A,UD Almería,CF,16,Left-footed shot,David Villa,2010,First Half
803,Messi,LaLiga,12,2010-11-20,A,UD Almería,CF,36,Tap-in,No Assist,2010,First Half
804,Messi,LaLiga,12,2010-11-20,A,UD Almería,CF,67,Tap-in,David Villa,2010,Second Half
805,Messi,Champions League,Group Stage,2010-11-24,A,Panathinaikos,CF,63,Left-footed shot,Adriano,2010,Second Half
806,Messi,LaLiga,14,2010-12-04,A,CA Osasuna,CF,64,Left-footed shot,David Villa,2010,Second Half
807,Messi,LaLiga,14,2010-12-04,A,CA Osasuna,CF,82,Penalty,No Assist,2010,Second Half
808,Messi,LaLiga,15,2010-12-12,H,Real Sociedad,CF,46,Left-footed shot,Dani Alves,2010,Second Half
809,Messi,LaLiga,15,2010-12-12,H,Real Sociedad,CF,86,Left-footed shot,Bojan Krkic,2010,Second Half
810,Messi,LaLiga,18,2011-01-08,A,Dep. La Coruña,CF,51,Direct free kick,No Assist,2011,Second Half
811,Messi,Copa del Rey,Quarter-Finals,2011-01-12,H,Real Betis,CF,44,Left-footed shot,Andrés Iniesta,2011,First Half
812,Messi,Copa del Rey,Quarter-Finals,2011-01-12,H,Real Betis,CF,63,Left-footed shot,No Assist,2011,Second Half
813,Messi,Copa del Rey,Quarter-Finals,2011-01-12,H,Real Betis,CF,73,Left-footed shot,Xavi,2011,Second Half
814,Messi,Copa del Rey,Quarter-Finals,2011-01-19,A,Real Betis,RW,37,Left-footed shot,Xavi,2011,First Half
815,Messi,LaLiga,20,2011-01-22,H,Racing,CF,33,Penalty,No Assist,2011,First Half
816,Messi,Copa del Rey,Semi-Finals,2011-01-26,H,UD Almería,CF,9,Left-footed shot,Pedro,2011,First Half
817,Messi,Copa del Rey,Semi-Finals,2011-01-26,H,UD Almería,CF,15,Left-footed shot,Andrés Iniesta,2011,First Half
818,Messi,LaLiga,21,2011-01-29,A,Hércules CF,CF,87,Left-footed shot,Dani Alves,2011,Second Half
819,Messi,LaLiga,21,2011-01-29,A,Hércules CF,CF,89,Left-footed shot,Dani Alves,2011,Second Half
820,Messi,LaLiga,22,2011-02-05,H,Atlético Madrid,CF,16,Left-footed shot,Dani Alves,2011,First Half
821,Messi,LaLiga,22,2011-02-05,H,Atlético Madrid,CF,28,Left-footed shot,Pedro,2011,First Half
822,Messi,LaLiga,22,2011-02-05,H,Atlético Madrid,CF,78,Left-footed shot,David Villa,2011,Second Half
823,Messi,LaLiga,24,2011-02-20,H,Athletic,CF,78,Right-footed shot,Dani Alves,2011,Second Half
824,Messi,LaLiga,25,2011-02-26,A,RCD Mallorca,CF,38,Header,Seydou Keita,2011,First Half
825,Messi,LaLiga,26,2011-03-02,A,Valencia,CF,77,Left-footed shot,Adriano,2011,Second Half
826,Messi,Champions League,last 16,2011-03-08,H,Arsenal,RW,49,Left-footed shot,Andrés Iniesta,2011,Second Half
827,Messi,Champions League,last 16,2011-03-08,H,Arsenal,RW,72,Penalty,No Assist,2011,Second Half
828,Messi,LaLiga,31,2011-04-09,H,UD Almería,CF,52,Penalty,No Assist,2011,Second Half
829,Messi,LaLiga,31,2011-04-09,H,UD Almería,CF,901,Left-footed shot,Seydou Keita,2011,Second Half-Additional Time
830,Messi,Champions League,Quarter-Finals,2011-04-12,A,Shakhtar D.,CF,42,Left-footed shot,Dani Alves,2011,First Half
831,Messi,LaLiga,32,2011-04-16,A,Real Madrid,CF,53,Penalty,No Assist,2011,Second Half
832,Messi,LaLiga,33,2011-04-23,H,CA Osasuna,CF,87,Right-footed shot,Dani Alves,2011,Second Half
833,Messi,Champions League,Semi-Finals,2011-04-27,A,Real Madrid,CF,76,Left-footed shot,Ibrahim Afellay,2011,Second Half
834,Messi,Champions League,Semi-Finals,2011-04-27,A,Real Madrid,CF,87,Solo run,Sergio Busquets,2011,Second Half
835,Messi,Champions League,Final,2011-05-28,H,Man Utd,CF,54,Left-footed shot,Andrés Iniesta,2011,Second Half
836,Messi,Supercopa,Final,2011-08-14,A,Real Madrid,CF,45,Left-footed shot,Thiago,2011,First Half
837,Messi,Supercopa,Final,2011-08-17,H,Real Madrid,CF,44,Right-footed shot,Gerard Piqué,2011,First Half
838,Messi,Supercopa,Final,2011-08-17,H,Real Madrid,CF,88,Left-footed shot,Adriano,2011,Second Half
839,Messi,UEFA Super Cup,Final,2011-08-26,H,FC Porto,CF,39,Left-footed shot,No Assist,2011,First Half
840,Messi,LaLiga,2,2011-08-29,H,Villarreal,CF,51,Right-footed shot,Andrés Iniesta,2011,Second Half
841,Messi,LaLiga,2,2011-08-29,H,Villarreal,CF,74,Left-footed shot,Thiago,2011,Second Half
842,Messi,LaLiga,4,2011-09-17,H,CA Osasuna,CF,5,Left-footed shot,Dani Alves,2011,First Half
843,Messi,LaLiga,4,2011-09-17,H,CA Osasuna,CF,41,Left-footed shot,Cesc Fàbregas,2011,First Half
844,Messi,LaLiga,4,2011-09-17,H,CA Osasuna,CF,79,Left-footed shot,Cesc Fàbregas,2011,Second Half
845,Messi,LaLiga,6,2011-09-24,H,Atlético Madrid,CF,26,Left-footed shot,Pedro,2011,First Half
846,Messi,LaLiga,6,2011-09-24,H,Atlético Madrid,CF,78,Left-footed shot,Dani Alves,2011,Second Half
847,Messi,LaLiga,6,2011-09-24,H,Atlético Madrid,CF,901,Left-footed shot,David Villa,2011,Second Half-Additional Time
848,Messi,Champions League,Group Stage,2011-09-28,A,BATE Borisov,CF,38,Header,No Assist,2011,First Half
849,Messi,Champions League,Group Stage,2011-09-28,A,BATE Borisov,CF,56,Left-footed shot,Dani Alves,2011,Second Half
850,Messi,LaLiga,8,2011-10-15,H,Racing,CF,11,Right-footed shot,Andrés Iniesta,2011,First Half
851,Messi,LaLiga,8,2011-10-15,H,Racing,CF,69,Right-footed shot,No Assist,2011,Second Half
852,Messi,LaLiga,11,2011-10-29,H,RCD Mallorca,CF,13,Penalty,No Assist,2011,First Half
853,Messi,LaLiga,11,2011-10-29,H,RCD Mallorca,CF,21,Right-footed shot,Adriano,2011,First Half
854,Messi,LaLiga,11,2011-10-29,H,RCD Mallorca,CF,30,Left-footed shot,Dani Alves,2011,First Half
855,Messi,Champions League,Group Stage,2011-11-01,A,Viktoria Plzen,CF,24,Penalty,No Assist,2011,First Half
856,Messi,Champions League,Group Stage,2011-11-01,A,Viktoria Plzen,CF,452,Left-footed shot,Adriano,2011,First Half-Additional Time
857,Messi,Champions League,Group Stage,2011-11-01,A,Viktoria Plzen,CF,902,Left-footed shot,Gerard Piqué,2011,Second Half-Additional Time
858,Messi,LaLiga,12,2011-11-06,A,Athletic,CF,90,Left-footed shot,No Assist,2011,Second Half
859,Messi,LaLiga,13,2011-11-19,H,Real Zaragoza,CF,43,Right-footed shot,Cesc Fàbregas,2011,First Half
860,Messi,Champions League,Group Stage,2011-11-23,A,AC Milan,RW,31,Penalty,No Assist,2011,First Half
861,Messi,LaLiga,17,2011-11-29,H,Rayo Vallecano,CF,49,Left-footed shot,Dani Alves,2011,Second Half
862,Messi,LaLiga,15,2011-12-03,H,Levante,CF,55,Left-footed shot,Dani Alves,2011,Second Half
863,Messi,Club World Cup,Final,2011-12-18,A,Santos FC,RW,17,Left-footed shot,Xavi,2011,First Half
864,Messi,Club World Cup,Final,2011-12-18,A,Santos FC,RW,82,Left-footed shot,Dani Alves,2011,Second Half
865,Messi,Copa del Rey,last 16,2012-01-04,H,CA Osasuna,CF,71,Header,Cesc Fàbregas,2012,Second Half
866,Messi,Copa del Rey,last 16,2012-01-04,H,CA Osasuna,CF,90,Left-footed shot,Xavi,2012,Second Half
867,Messi,LaLiga,19,2012-01-15,H,Real Betis,CF,12,Right-footed shot,Alexis Sánchez,2012,First Half
868,Messi,LaLiga,19,2012-01-15,H,Real Betis,CF,86,Penalty,No Assist,2012,Second Half
869,Messi,LaLiga,1,2012-01-22,A,Málaga CF,CF,32,Header,Adriano,2012,First Half
870,Messi,LaLiga,1,2012-01-22,A,Málaga CF,CF,51,Left-footed shot,Thiago,2012,Second Half
871,Messi,LaLiga,1,2012-01-22,A,Málaga CF,CF,77,Left-footed shot,Pedro,2012,Second Half
872,Messi,LaLiga,22,2012-02-04,H,Real Sociedad,CF,72,Left-footed shot,Dani Alves,2012,Second Half
873,Messi,Champions League,last 16,2012-02-14,A,Bay. Leverkusen,CF,88,Left-footed shot,Dani Alves,2012,Second Half
874,Messi,LaLiga,24,2012-02-19,H,Valencia,CF,21,Left-footed shot,No Assist,2012,First Half
875,Messi,LaLiga,24,2012-02-19,H,Valencia,CF,27,Tap-in,No Assist,2012,First Half
876,Messi,LaLiga,24,2012-02-19,H,Valencia,CF,75,Left-footed shot,No Assist,2012,Second Half
877,Messi,LaLiga,24,2012-02-19,H,Valencia,CF,84,Left-footed shot,Sergio Busquets,2012,Second Half
878,Messi,LaLiga,25,2012-02-26,A,Atlético Madrid,CF,79,Direct free kick,No Assist,2012,Second Half
879,Messi,Champions League,last 16,2012-03-07,H,Bay. Leverkusen,CF,25,Left-footed shot,Xavi,2012,First Half
880,Messi,Champions League,last 16,2012-03-07,H,Bay. Leverkusen,CF,42,Left-footed shot,Andrés Iniesta,2012,First Half
881,Messi,Champions League,last 16,2012-03-07,H,Bay. Leverkusen,CF,50,Right-footed shot,Cesc Fàbregas,2012,Second Half
882,Messi,Champions League,last 16,2012-03-07,H,Bay. Leverkusen,CF,58,Left-footed shot,No Assist,2012,Second Half
883,Messi,Champions League,last 16,2012-03-07,H,Bay. Leverkusen,CF,85,Left-footed shot,Seydou Keita,2012,Second Half
884,Messi,LaLiga,27,2012-03-11,A,Racing,CF,28,Left-footed shot,Cesc Fàbregas,2012,First Half
885,Messi,LaLiga,27,2012-03-11,A,Racing,CF,55,Penalty,No Assist,2012,Second Half
886,Messi,LaLiga,28,2012-03-17,A,Sevilla FC,CF,25,Left-footed shot,Andrés Iniesta,2012,First Half
887,Messi,LaLiga,29,2012-03-20,H,Granada CF,CF,16,Left-footed shot,Isaac Cuenca,2012,First Half
888,Messi,LaLiga,29,2012-03-20,H,Granada CF,CF,66,Left-footed shot,Dani Alves,2012,Second Half
889,Messi,LaLiga,29,2012-03-20,H,Granada CF,CF,85,Left-footed shot,Dani Alves,2012,Second Half
890,Messi,LaLiga,30,2012-03-24,A,RCD Mallorca,CF,25,Direct free kick,No Assist,2012,First Half
891,Messi,LaLiga,31,2012-03-31,H,Athletic,CF,57,Penalty,No Assist,2012,Second Half
892,Messi,Champions League,Quarter-Finals,2012-04-03,H,AC Milan,RW,11,Penalty,No Assist,2012,First Half
893,Messi,Champions League,Quarter-Finals,2012-04-03,H,AC Milan,RW,42,Penalty,No Assist,2012,First Half
894,Messi,LaLiga,32,2012-04-07,A,Real Zaragoza,CF,39,Left-footed shot,Alexis Sánchez,2012,First Half
895,Messi,LaLiga,32,2012-04-07,A,Real Zaragoza,CF,86,Penalty,No Assist,2012,Second Half
896,Messi,LaLiga,33,2012-04-10,H,Getafe,CF,44,Left-footed shot,Andrés Iniesta,2012,First Half
897,Messi,LaLiga,34,2012-04-14,A,Levante,CF,64,Left-footed shot,Alexis Sánchez,2012,Second Half
898,Messi,LaLiga,34,2012-04-14,A,Levante,CF,73,Penalty,No Assist,2012,Second Half
899,Messi,LaLiga,36,2012-04-29,A,Rayo Vallecano,CF,16,Left-footed shot,Pedro,2012,First Half
900,Messi,LaLiga,36,2012-04-29,A,Rayo Vallecano,CF,88,Left-footed shot,Pedro,2012,Second Half
901,Messi,LaLiga,20,2012-05-02,H,Málaga CF,CF,34,Penalty,No Assist,2012,First Half
902,Messi,LaLiga,20,2012-05-02,H,Málaga CF,CF,60,Penalty,No Assist,2012,Second Half
903,Messi,LaLiga,20,2012-05-02,H,Málaga CF,CF,63,Left-footed shot,Andrés Iniesta,2012,Second Half
904,Messi,LaLiga,37,2012-05-05,H,Espanyol,CF,11,Direct free kick,No Assist,2012,First Half
905,Messi,LaLiga,37,2012-05-05,H,Espanyol,CF,63,Penalty,No Assist,2012,Second Half
906,Messi,LaLiga,37,2012-05-05,H,Espanyol,CF,73,Left-footed shot,Adriano,2012,Second Half
907,Messi,LaLiga,37,2012-05-05,H,Espanyol,CF,78,Penalty,No Assist,2012,Second Half
908,Messi,Copa del Rey,Final,2012-05-25,H,Athletic,CF,20,Right-footed shot,Andrés Iniesta,2012,First Half
909,Messi,LaLiga,1,2012-08-19,H,Real Sociedad,CF,10,Left-footed shot,Pedro,2012,First Half
910,Messi,LaLiga,1,2012-08-19,H,Real Sociedad,CF,15,Left-footed shot,Cristian Tello,2012,First Half
911,Messi,Supercopa,Final,2012-08-23,H,Real Madrid,CF,60,Penalty,No Assist,2012,Second Half
912,Messi,LaLiga,2,2012-08-26,A,CA Osasuna,CF,74,Left-footed shot,Alexis Sánchez,2012,Second Half
913,Messi,LaLiga,2,2012-08-26,A,CA Osasuna,CF,79,Left-footed shot,Jordi Alba,2012,Second Half
914,Messi,Supercopa,Final,2012-08-29,A,Real Madrid,CF,45,Direct free kick,No Assist,2012,First Half
915,Messi,LaLiga,4,2012-09-15,A,Getafe,CF,74,Penalty,No Assist,2012,Second Half
916,Messi,LaLiga,4,2012-09-15,A,Getafe,CF,78,Left-footed shot,Pedro,2012,Second Half
917,Messi,Champions League,Group Stage,2012-09-19,H,Spartak Moscow,CF,71,Left-footed shot,Cristian Tello,2012,Second Half
918,Messi,Champions League,Group Stage,2012-09-19,H,Spartak Moscow,CF,80,Header,Alexis Sánchez,2012,Second Half
919,Messi,LaLiga,7,2012-10-07,H,Real Madrid,CF,31,Left-footed shot,No Assist,2012,First Half
920,Messi,LaLiga,7,2012-10-07,H,Real Madrid,CF,60,Direct free kick,No Assist,2012,Second Half
921,Messi,LaLiga,8,2012-10-20,A,Dep. La Coruña,CF,17,Left-footed shot,Cesc Fàbregas,2012,First Half
922,Messi,LaLiga,8,2012-10-20,A,Dep. La Coruña,CF,43,Left-footed shot,Cesc Fàbregas,2012,First Half
923,Messi,LaLiga,8,2012-10-20,A,Dep. La Coruña,CF,76,Left-footed shot,Xavi,2012,Second Half
924,Messi,LaLiga,9,2012-10-27,A,Rayo Vallecano,CF,48,Left-footed shot,Martín Montoya,2012,Second Half
925,Messi,LaLiga,9,2012-10-27,A,Rayo Vallecano,CF,89,Right-footed shot,Cesc Fàbregas,2012,Second Half
926,Messi,Champions League,Group Stage,2012-11-07,A,Celtic,CF,901,Tap-in,No Assist,2012,Second Half-Additional Time
927,Messi,LaLiga,11,2012-11-11,A,RCD Mallorca,CF,43,Left-footed shot,Sergio Busquets,2012,First Half
928,Messi,LaLiga,11,2012-11-11,A,RCD Mallorca,CF,70,Left-footed shot,Alexis Sánchez,2012,Second Half
929,Messi,LaLiga,12,2012-11-17,H,Real Zaragoza,CF,15,Left-footed shot,Jordi Alba,2012,First Half
930,Messi,LaLiga,12,2012-11-17,H,Real Zaragoza,CF,60,Left-footed shot,Martín Montoya,2012,Second Half
931,Messi,Champions League,Group Stage,2012-11-20,A,Spartak Moscow,CF,27,Right-footed shot,No Assist,2012,First Half
932,Messi,Champions League,Group Stage,2012-11-20,A,Spartak Moscow,CF,39,Left-footed shot,Pedro,2012,First Half
933,Messi,LaLiga,13,2012-11-25,A,Levante,CF,46,Left-footed shot,Andrés Iniesta,2012,Second Half
934,Messi,LaLiga,13,2012-11-25,A,Levante,CF,51,Left-footed shot,Andrés Iniesta,2012,Second Half
935,Messi,LaLiga,14,2012-12-01,H,Athletic,CF,24,Left-footed shot,Xavi,2012,First Half
936,Messi,LaLiga,14,2012-12-01,H,Athletic,CF,69,Right-footed shot,Pedro,2012,Second Half
937,Messi,LaLiga,15,2012-12-09,A,Real Betis,CF,16,Left-footed shot,Andrés Iniesta,2012,First Half
938,Messi,LaLiga,15,2012-12-09,A,Real Betis,CF,25,Left-footed shot,Andrés Iniesta,2012,First Half
939,Messi,Copa del Rey,last 16,2012-12-12,A,Córdoba CF,CF,10,Left-footed shot,David Villa,2012,First Half
940,Messi,Copa del Rey,last 16,2012-12-12,A,Córdoba CF,CF,73,Left-footed shot,Alexis Sánchez,2012,Second Half
941,Messi,LaLiga,16,2012-12-16,H,Atlético Madrid,CF,58,Left-footed shot,Alexis Sánchez,2012,Second Half
942,Messi,LaLiga,16,2012-12-16,H,Atlético Madrid,CF,88,Left-footed shot,No Assist,2012,Second Half
943,Messi,LaLiga,17,2012-12-22,A,Real Valladolid,CF,59,Left-footed shot,Xavi,2012,Second Half
944,Messi,LaLiga,18,2013-01-06,H,Espanyol,CF,28,Penalty,No Assist,2013,First Half
945,Messi,LaLiga,19,2013-01-13,A,Málaga CF,CF,26,Right-footed shot,No Assist,2013,First Half
946,Messi,Copa del Rey,Quarter-Finals,2013-01-16,H,Málaga CF,CF,29,Left-footed shot,No Assist,2013,First Half
947,Messi,LaLiga,20,2013-01-19,A,Real Sociedad,CF,6,Left-footed shot,Andrés Iniesta,2013,First Half
948,Messi,Copa del Rey,Quarter-Finals,2013-01-24,A,Málaga CF,CF,79,Header,Dani Alves,2013,Second Half
949,Messi,LaLiga,21,2013-01-27,H,CA Osasuna,CF,11,Right-footed shot,Xavi,2013,First Half
950,Messi,LaLiga,21,2013-01-27,H,CA Osasuna,CF,28,Penalty,No Assist,2013,First Half
951,Messi,LaLiga,21,2013-01-27,H,CA Osasuna,CF,56,Left-footed shot,David Villa,2013,Second Half
952,Messi,LaLiga,21,2013-01-27,H,CA Osasuna,CF,58,Left-footed shot,Adriano,2013,Second Half
953,Messi,LaLiga,22,2013-02-03,A,Valencia,CF,39,Penalty,No Assist,2013,First Half
954,Messi,LaLiga,23,2013-02-10,H,Getafe,CF,13,Left-footed shot,Thiago,2013,First Half
955,Messi,LaLiga,24,2013-02-16,A,Granada CF,CF,49,Left-footed shot,No Assist,2013,Second Half
956,Messi,LaLiga,24,2013-02-16,A,Granada CF,CF,72,Direct free kick,No Assist,2013,Second Half
957,Messi,LaLiga,25,2013-02-23,H,Sevilla FC,CF,60,Left-footed shot,Cristian Tello,2013,Second Half
958,Messi,LaLiga,26,2013-03-02,A,Real Madrid,CF,18,Left-footed shot,Dani Alves,2013,First Half
959,Messi,LaLiga,27,2013-03-09,H,Dep. La Coruña,CF,88,Left-footed shot,Alexis Sánchez,2013,Second Half
960,Messi,Champions League,last 16,2013-03-12,H,AC Milan,CF,5,Left-footed shot,Xavi,2013,First Half
961,Messi,Champions League,last 16,2013-03-12,H,AC Milan,CF,40,Left-footed shot,Andrés Iniesta,2013,First Half
962,Messi,LaLiga,28,2013-03-17,H,Rayo Vallecano,CF,40,Left-footed shot,David Villa,2013,First Half
963,Messi,LaLiga,28,2013-03-17,H,Rayo Vallecano,CF,57,Left-footed shot,David Villa,2013,Second Half
964,Messi,LaLiga,29,2013-03-30,A,Celta de Vigo,CF,73,Left-footed shot,Cristian Tello,2013,Second Half
965,Messi,Champions League,Quarter-Finals,2013-04-02,A,Paris SG,CF,38,Left-footed shot,Dani Alves,2013,First Half
966,Messi,LaLiga,33,2013-04-27,A,Athletic,CF,67,Left-footed shot,Thiago,2013,Second Half
967,Messi,LaLiga,34,2013-05-05,H,Real Betis,CF,60,Direct free kick,No Assist,2013,Second Half
968,Messi,LaLiga,34,2013-05-05,H,Real Betis,CF,71,Left-footed shot,Alexis Sánchez,2013,Second Half
969,Messi,LaLiga,1,2013-08-18,H,Levante,CF,13,Left-footed shot,Pedro,2013,First Half
970,Messi,LaLiga,1,2013-08-18,H,Levante,CF,42,Penalty,No Assist,2013,First Half
971,Messi,LaLiga,3,2013-09-01,A,Valencia,CF,11,Left-footed shot,Cesc Fàbregas,2013,First Half
972,Messi,LaLiga,3,2013-09-01,A,Valencia,CF,39,Right-footed shot,Cesc Fàbregas,2013,First Half
973,Messi,LaLiga,3,2013-09-01,A,Valencia,CF,41,Left-footed shot,Neymar,2013,First Half
974,Messi,LaLiga,4,2013-09-14,H,Sevilla FC,CF,75,Left-footed shot,Neymar,2013,Second Half
975,Messi,Champions League,Group Stage,2013-09-18,H,Ajax,CF,22,Direct free kick,No Assist,2013,First Half
976,Messi,Champions League,Group Stage,2013-09-18,H,Ajax,CF,55,Left-footed shot,Sergio Busquets,2013,Second Half
977,Messi,Champions League,Group Stage,2013-09-18,H,Ajax,CF,75,Left-footed shot,Xavi,2013,Second Half
978,Messi,LaLiga,6,2013-09-24,H,Real Sociedad,CF,8,Header,Neymar,2013,First Half
979,Messi,LaLiga,7,2013-09-28,A,UD Almería,CF,21,Left-footed shot,Pedro,2013,First Half
980,Messi,Champions League,Group Stage,2013-10-22,A,AC Milan,CF,23,Left-footed shot,Andrés Iniesta,2013,First Half
